Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Silver Spoon Season 2,3.90 Excellent,A-1 Pictures Inc.,Manga,Comedy,~24min,TV-Series,11,2014
Teasing Master Takagi-san: Season 2,3.90 Excellent,"Shin-ei Animation Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2019
Non Non Biyori Repeat,3.90 Excellent,SILVER LINK.,Manga,Slice of Life Comedy,~24min,TV-Series,12,2015
Gankutsuou: The Count of Monte Cristo,3.89 Excellent,Gonzo K.K.,Novel,Drama,~24min,TV-Series,24,2004
Ergo Proxy,3.89 Excellent,manglobe Inc.,Original Work,Action Drama,~25min,TV-Series,23,2006
Goblin Slayer,3.89 Excellent,"WHITE FOX Co., Ltd.",Light Novel,Action,~24min,TV-Series,12,2018
Zom 100: Bucket List of the Dead,3.89 Excellent,BUG FILMS,Manga,Action,~24min,TV-Series,12,2023
Hinamatsuri,3.89 Excellent,feel.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2018
Blue Spring Ride,3.89 Excellent,"Production I.G., Inc.",Manga,Romantic Drama,~24min,TV-Series,12,2014
JoJo’s Bizarre Adventure: Stardust Crusaders,3.89 Excellent,David Production Inc.,Manga,Fighting-Shounen,~24min,TV-Series,24,2014
Clevatess,3.94 Excellent,Lay-duce Inc.,Manga,Action,~24min,TV-Series,12,2025
Wistoria: Wand and Sword,3.89 Excellent,"Actas Inc., BANDAI NAMCO Pictures Inc.",Manga,Action,~24min,TV-Series,12,2024
World Trigger 2nd Season,3.91 Excellent,"Toei Animation Co., Ltd.",Manga,Fighting-Shounen,~23min,TV-Series,12,2021
Hi Score Girl II,3.90 Excellent,"J.C.STAFF Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,9,2019
How a Realist Hero Rebuilt the Kingdom,3.88 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,13,2021
Golden Time,3.88 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Romantic Drama,~24min,TV-Series,24,2013
Tomodachi Game,3.89 Excellent,Okuruto Noboru Inc.,Manga,Thriller,~23min,TV-Series,12,2022
Bleach,3.88 Excellent,"Pierrot Co., Ltd.",Manga,Fighting-Shounen,~24min,TV-Series,366,2004
Durarara!! ×2 The First Arc,3.88 Excellent,Shuka Inc.,Light Novel,Thriller,~24min,TV-Series,12,2015
Nisemonogatari,3.88 Excellent,SHAFT Inc.,Light Novel,Ghost Stories,~24min,TV-Series,11,2012
Kaiju No. 8: Season 2,3.94 Excellent,"Production I.G., Inc.",Manga,Action Comedy,~24min,TV-Series,12,2025
Girls’ Last Tour,3.88 Excellent,"WHITE FOX Co., Ltd.",Manga,Adventure,~24min,TV-Series,12,2017
Fate/Grand Order Absolute Demonic Front: Babylonia,3.89 Excellent,CloverWorks Inc.,Video Game,Action Drama,~24min,TV-Series,21,2019
March Comes in Like a Lion,3.89 Excellent,SHAFT Inc.,Manga,Drama,~25min,TV-Series,22,2016
Fairy Tail: 100 Years Quest,3.91 Excellent,"J.C.STAFF Co., Ltd.",Manga,Fighting-Shounen,~24min,TV-Series,25,2024
MF Ghost: Season 2,3.94 Excellent,Felix Film,Manga,Ganbatte,~24min,TV-Series,12,2024
Mobile Suit Gundam: Iron-Blooded Orphans,3.89 Excellent,SUNRISE Inc.,Original Work,Action Drama,~25min,TV-Series,25,2015
The Irregular at Magic High School: Visitor Arc,3.88 Excellent,"8bit Corp, Inc.",Light Novel,Action,~24min,TV-Series,13,2020
Jormungand: Perfect Order,3.88 Excellent,"WHITE FOX Co., Ltd.",Manga,Action,~24min,TV-Series,12,2012
Nura: Rise of the Yokai Clan - Demon Capital,3.88 Excellent,"Studio DEEN Co., Ltd.",Manga,Fighting-Shounen,~24min,TV-Series,24,2011
Rumbling Hearts,3.87 Excellent,"Studio Fantasia Co., Ltd.",Visual Novel,Romantic Drama,~24min,TV-Series,14,2003
The Unwanted Undead Adventurer,3.88 Excellent,CONNECT,Light Novel,Adventure,~24min,TV-Series,12,2024
Little Busters! Refrain,3.88 Excellent,"J.C.STAFF Co., Ltd.",Visual Novel,Sentimental Drama,~24min,TV-Series,13,2013
Psycho-Pass 2,3.87 Excellent,"Tatsunoko Production Co., Ltd.",Original Work,Crime Fiction,~23min,TV-Series,11,2014
Skip Beat!,3.87 Excellent,HAL FILM MAKER Inc.,Manga,Ganbatte,~25min,TV-Series,25,2008
Kokoro Connect,3.87 Excellent,SILVER LINK.,Light Novel,Drama,~24min,TV-Series,13,2012
Somali and the Forest Spirit,3.88 Excellent,Satelight Inc.,Manga,Adventure,~24min,TV-Series,12,2020
We Never Learn! Bokuben Season 2,3.87 Excellent,"ARVO ANIMATION Inc., Silver Co. Ltd.",Manga,Romantic Comedy,~24min,TV-Series,13,2019
Land of the Lustrous,3.88 Excellent,"Orange Co., Ltd.",Manga,Drama,~24min,TV-Series,12,2017
The World God Only Knows: Goddesses,3.87 Excellent,manglobe Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2013
Ping Pong The Animation,3.88 Excellent,"Tatsunoko Production Co., Ltd.",Manga,Ganbatte,~23min,TV-Series,11,2014
Log Horizon Season 2,3.86 Excellent,"Studio DEEN Co., Ltd.",Light Novel,Adventure,~25min,TV-Series,25,2014
Wotakoi: Love is Hard for Otaku,3.86 Excellent,A-1 Pictures Inc.,Manga,Romantic Comedy,~23min,TV-Series,11,2018
"More than a Married Couple, but Not Lovers.",3.87 Excellent,studio MOTHER Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2022
Mashle: Magic and Muscles - The Divine Visionary Candidate Exam Arc,3.87 Excellent,A-1 Pictures Inc.,Manga,Action Comedy,~24min,TV-Series,12,2024
Buddy Daddies,3.87 Excellent,"P.A. Works Co., Ltd.",Original Work,Action Comedy,~24min,TV-Series,12,2023
Miraculous Ladybug Season 2,3.91 Excellent,,Original Work,Action Comedy,~22min,TV-Series,25,2018
Baby Steps,3.87 Excellent,"Pierrot Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,25,2014
The Wrong Way to Use Healing Magic,3.86 Excellent,"Shin-ei Animation Co., Ltd., studio add Co., Ltd.",Light Novel,Action,~24min,TV-Series,13,2024
Kono Oto Tomare! Sounds of Life,3.88 Excellent,"Platinumvision Co., Ltd.",Manga,Drama,~24min,TV-Series,13,2019
The Duke of Death and His Maid: Season 3,3.90 Excellent,"J.C.STAFF Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2024
Little Witch Academia (TV),3.86 Excellent,TRIGGER Inc.,Original Work,Comedy,~24min,TV-Series,25,2017
Shirobako,3.86 Excellent,"P.A. Works Co., Ltd.",Original Work,Comedy,~25min,TV-Series,24,2014
Orange,3.86 Excellent,"Telecom Animation Film Co., Ltd.",Manga,Sentimental Drama,~24min,TV-Series,13,2016
Durarara!! ×2 The Second Arc,3.86 Excellent,Shuka Inc.,Light Novel,Action,~24min,TV-Series,12,2015
Ranma 1/2 (2024),3.87 Excellent,"MAPPA Co., Ltd.",Manga,Romantic Comedy,~23min,TV-Series,12,2024
Golden Kamuy,3.86 Excellent,Geno Studio Inc.,Manga,Adventure,~24min,TV-Series,12,2018
Magi: Adventure of Sinbad,3.86 Excellent,Lay-duce Inc.,Manga,Adventure,~25min,TV-Series,13,2016
Kill La Kill,3.85 Excellent,TRIGGER Inc.,Original Work,Action Comedy,~25min,TV-Series,24,2013
New Game!!,3.86 Excellent,Doga Kobo,Manga,Comedy,~24min,TV-Series,12,2017
Restaurant to Another World 2,3.87 Excellent,"OLM, Inc.",Light Novel,Comedy,~24min,TV-Series,12,2021
My Senpai Is Annoying,3.86 Excellent,Doga Kobo,Manga,Romantic Comedy,~24min,TV-Series,12,2021
"So I’m a Spider, So What?",3.85 Excellent,"Millepensee Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,24,2021
Akebi’s Sailor Uniform,3.86 Excellent,CloverWorks Inc.,Manga,Slice of Life Drama,~24min,TV-Series,12,2022
K-On!,3.84 Excellent,"Kyoto Animation Co., Ltd.",Manga,Slice of Life Comedy,~24min,TV-Series,12,2009
Natsume’s Book of Friends,3.85 Excellent,Brain’s Base,Manga,Slice of Life Drama,~24min,TV-Series,13,2008
Raven of the Inner Palace,3.86 Excellent,BANDAI NAMCO Pictures Inc.,Light Novel,Ghost Stories,~24min,TV-Series,13,2022
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,3.85 Excellent,"HORNETS, Studio KAI Inc.",Light Novel,Romance,~24min,TV-Series,12,2024
Blue Exorcist,3.84 Excellent,A-1 Pictures Inc.,Manga,Action,~24min,TV-Series,25,2011
Rock Is a Lady’s Modesty,3.90 Excellent,BANDAI NAMCO Pictures Inc.,Manga,Slice of Life Comedy,~24min,TV-Series,13,2025
Seraph of the End: Vampire Reign – Part 2,3.84 Excellent,"WIT STUDIO, Inc.",Manga,Action Drama,~25min,TV-Series,12,2015
Beastars,3.84 Excellent,"Orange Co., Ltd.",Manga,Slice of Life Drama,~23min,TV-Series,12,2019
Black Butler: Public School Arc,3.87 Excellent,CloverWorks Inc.,Manga,Action Drama,~24min,TV-Series,11,2024
Blue Lock: 2nd Season,3.86 Excellent,"8bit Corp, Inc.",Manga,Ganbatte,~25min,TV-Series,14,2024
Skeleton Knight in Another World,3.84 Excellent,"HORNETS, Studio KAI Inc.",Light Novel,Adventure Comedy,~24min,TV-Series,12,2022
The Weakest Tamer Began a Journey to Pick Up Trash,3.84 Excellent,STUDIO MASSKET Inc.,Light Novel,Adventure,~24min,TV-Series,12,2024
Undead Murder Farce,3.85 Excellent,Lapintrack,Novel,Supernatural Drama,~23min,TV-Series,13,2023
Kamisama Kiss,3.84 Excellent,"TMS Entertainment Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,13,2012
Hell Girl: Two Mirrors,3.84 Excellent,"Studio DEEN Co., Ltd.",Original Work,Drama,~25min,TV-Series,26,2006
Birdie Wing: Golf Girls’ Story (Season 2),3.89 Excellent,BANDAI NAMCO Pictures Inc.,Original Work,Ganbatte,~24min,TV-Series,12,2023
Onimai: I’m Now Your Sister,3.85 Excellent,"StudioBind Co., Ltd.",Manga,Comedy,~24min,TV-Series,12,2022
Phantom: Requiem for the Phantom,3.83 Excellent,Bee Train Productions Inc.,Visual Novel,Action Drama,~24min,TV-Series,26,2009
Chihayafuru,3.83 Excellent,MADHOUSE Inc.,Manga,Ganbatte,~23min,TV-Series,25,2011
Seirei Gensouki: Spirit Chronicles,3.83 Excellent,"TMS Entertainment Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2021
Maison Ikkoku,3.81 Excellent,"Kitty Film Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,96,1986
Smile Down the Runway,3.80 Excellent,Ezόla,Manga,Slice of Life Drama,~25min,TV-Series,12,2020
I’ll Become a Villainess Who Goes Down in History,3.79 Excellent,"MAHO FILM Co., Ltd.",Light Novel,Romance,~24min,TV-Series,13,2024
New Game!,3.79 Excellent,Doga Kobo,Manga,Comedy,~24min,TV-Series,12,2016
Ranma 1/2,3.78 Excellent,"Studio DEEN Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,18,1989
Pokémon: The Series - XYZ,3.82 Excellent,"OLM, Inc.",Video Game,Adventure,~23min,TV-Series,47,2015
Darker than Black: Gemini of the Meteor,3.78 Excellent,BONES Inc.,Original Work,Action Drama,~25min,TV-Series,12,2009
D.Gray-man,3.78 Excellent,"TMS Entertainment Co., Ltd.",Manga,Action Drama,~23min,TV-Series,103,2006
Inuyashiki Last Hero,3.78 Excellent,"MAPPA Co., Ltd.",Manga,Action Drama,~23min,TV-Series,11,2017
Magic Kaito 1412,3.78 Excellent,A-1 Pictures Inc.,Manga,Crime Fiction,~24min,TV-Series,24,2014
The Saint’s Magic Power Is Omnipotent,3.78 Excellent,diomedéa inc.,Light Novel,Romance,~24min,TV-Series,12,2021
Love Live! Superstar!!,3.83 Excellent,SUNRISE Inc.,Original Work,Ganbatte,~24min,TV-Series,12,2021
Love Live! School Idol Project (2nd Season),3.78 Excellent,SUNRISE Inc.,Original Work,Ganbatte,~24min,TV-Series,13,2014
Black Butler,3.77 Excellent,A-1 Pictures Inc.,Manga,Action Drama,~24min,TV-Series,24,2008
Slam Dunk,3.79 Excellent,"Toei Animation Co., Ltd.",Manga,Ganbatte,~23min,TV-Series,101,1993
Hitorijime My Hero,3.80 Excellent,"Kachigarasu Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2017
Maria Watches over Us 4th Season,3.80 Excellent,"Studio DEEN Co., Ltd.",Light Novel,Slice of Life Drama,~25min,TV-Series,13,2009
Kakushigoto,3.78 Excellent,"AJIADO CO.,LTD.",Manga,Comedy,~24min,TV-Series,12,2020
The Slime Diaries,3.78 Excellent,"8bit Corp, Inc.",Manga,Comedy,~24min,TV-Series,12,2021
Daily Lives of High School Boys,3.77 Excellent,SUNRISE Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2012
Dakaichi: I’m Being Harassed by the Sexiest Man of the Year,3.79 Excellent,CloverWorks Inc.,Manga,Romantic Comedy,~24min,TV-Series,13,2018
High School D×D BorN,3.77 Excellent,"TNK Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,12,2015
Interviews with Monster Girls,3.77 Excellent,A-1 Pictures Inc.,Manga,Comedy,~24min,TV-Series,12,2017
Dragon Ball Super,3.77 Excellent,"Toei Animation Co., Ltd.",Manga,Fighting-Shounen,~23min,TV-Series,131,2015
My Next Life as a Villainess: All Routes Lead to Doom!,3.77 Excellent,SILVER LINK.,Light Novel,Comedy,~24min,TV-Series,12,2020
Welcome to Demon School! Iruma-kun: Season 3,3.79 Excellent,BANDAI NAMCO Pictures Inc.,Manga,Comedy,~25min,TV-Series,21,2022
Reborn!,3.77 Excellent,Artland Inc.,Manga,Fighting-Shounen,~23min,TV-Series,203,2006
Remake Our Life!,3.77 Excellent,feel.,Light Novel,Slice of Life,~24min,TV-Series,12,2021
Wandering Witch: The Journey of Elaina,3.77 Excellent,"C2C Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2020
Initial D Fifth Stage,3.78 Excellent,"SynergySP Co. ,Ltd.",Manga,Ganbatte,~27min,TV-Series,14,2012
Magical Girl Lyrical Nanoha A's,3.77 Excellent,Seven Arcs Ltd.,Original Work,Action Drama,~26min,TV-Series,13,2005
High School D×D Hero,3.77 Excellent,"Passione Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,12,2018
IDOLiSH7 Third Beat!,3.97 Excellent,TROYCA Inc.,Video Game,Ganbatte,~24min,TV-Series,13,2021
Kingdom,3.77 Excellent,"Pierrot Co., Ltd.",Manga,Action,~25min,TV-Series,38,2012
Symphogear XV,3.86 Excellent,Satelight Inc.,Original Work,Action,~24min,TV-Series,13,2019
Dead Mount Death Play (Cour 2),3.77 Excellent,GEEK TOYS Inc.,Manga,Action,~24min,TV-Series,12,2023
Sound! Euphonium,3.77 Excellent,"Kyoto Animation Co., Ltd.",Novel,Slice of Life Drama,~24min,TV-Series,13,2015
Ajin: Demi-Human 2,3.76 Excellent,Polygon Pictures Inc.,Manga,Supernatural Thriller,~24min,TV-Series,13,2016
Shakugan no Shana,3.76 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action,~25min,TV-Series,24,2005
K: Return of Kings,3.76 Excellent,GoHands,Original Work,Action,~24min,TV-Series,13,2015
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,3.77 Excellent,diomedéa inc.,Light Novel,Comedy,~24min,TV-Series,12,2022
Free! Eternal Summer,3.76 Excellent,"Animation Do Co.,Ltd, Kyoto Animation Co., Ltd.",Light Novel,Ganbatte,~24min,TV-Series,13,2014
True Tears,3.76 Excellent,"P.A. Works Co., Ltd.",Original Work,Romantic Drama,~24min,TV-Series,13,2008
Dusk Maiden of Amnesia,3.76 Excellent,SILVER LINK.,Manga,Ghost Stories,~24min,TV-Series,12,2012
Seraph of the End: Vampire Reign,3.76 Excellent,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,12,2015
Secrets of the Silent Witch,3.84 Excellent,Studio Gokumi,Light Novel,Action,~24min,TV-Series,12,2025
Free! Dive to the Future,3.77 Excellent,"Animation Do Co.,Ltd, Kyoto Animation Co., Ltd.",Light Novel,Ganbatte,~24min,TV-Series,12,2018
Toilet-Bound Hanako-kun,3.77 Excellent,Lerche,Manga,Ghost Stories,~24min,TV-Series,12,2020
Goblin Slayer II,3.76 Excellent,LIDEN FILMS Inc.,Light Novel,Action,~24min,TV-Series,12,2023
AKB0048: Next Stage,3.78 Excellent,Satelight Inc.,Other,Ganbatte,~24min,TV-Series,13,2013
The Faraway Paladin: The Lord of Rust Mountains,3.76 Excellent,"OLM, Inc., SUNRISE BEYOND Inc.",Light Novel,Adventure,~24min,TV-Series,12,2023
Valkyria Chronicles,3.75 Excellent,A-1 Pictures Inc.,Video Game,Action Drama,~24min,TV-Series,26,2009
Pseudo Harem,3.77 Excellent,Nomad Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2024
Grand Blue Dreaming: Season 2,3.94 Excellent,"Liber Inc., ZERO-G, Inc.",Manga,Nonsense-Comedy,~?min,TV-Series,12,2025
We Never Learn: Bokuben,3.75 Excellent,"ARVO ANIMATION Inc., Silver Co. Ltd.",Manga,Romantic Comedy,~24min,TV-Series,13,2019
Hakumei and Mikochi,3.79 Excellent,Lerche,Manga,Slice of Life Drama,~25min,TV-Series,12,2018
Cardcaptor Sakura: Clear Card,3.79 Excellent,MADHOUSE Inc.,Manga,Adventure,~25min,TV-Series,22,2018
The Seven Deadly Sins: Imperial Wrath of the Gods,3.75 Excellent,"Studio DEEN Co., Ltd.",Manga,Adventure,~24min,TV-Series,24,2019
Super Lovers 2,3.77 Excellent,"Studio DEEN Co., Ltd.",Manga,Drama,~24min,TV-Series,10,2017
High School D×D New,3.74 Excellent,"TNK Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,12,2013
Ace of the Diamond,3.75 Excellent,"MADHOUSE Inc., Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,75,2013
Bungo Stray Dogs,3.74 Excellent,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,12,2016
Blood+,3.74 Excellent,"Production I.G., Inc.",Original Work,Action Drama,~24min,TV-Series,50,2005
Doctor Elise: The Royal Lady with the Lamp,3.76 Excellent,"MAHO FILM Co., Ltd.",Manhwa,Drama,~24min,TV-Series,12,2024
To Love Ru: Darkness 2nd,3.75 Excellent,"XEBEC, Inc.",Manga,Romantic Comedy,~25min,TV-Series,14,2015
Poco’s Udon World,3.77 Excellent,LIDEN FILMS Inc.,Manga,Slice of Life Drama,~23min,TV-Series,12,2016
Full Moon,3.75 Excellent,"Studio DEEN Co., Ltd.",Manga,Sentimental Drama,~24min,TV-Series,52,2002
Kaiba,3.76 Excellent,MADHOUSE Inc.,Original Work,Drama,~24min,TV-Series,12,2008
Megalobox,3.75 Excellent,"TMS Entertainment Co., Ltd.",Manga,Action,~24min,TV-Series,13,2018
Miraculous Ladybug Season 4,3.89 Excellent,,Original Work,Action Comedy,~23min,TV-Series,26,2022
Lupin the Third: Part 5,3.85 Excellent,"Telecom Animation Film Co., Ltd.",Manga,Action Comedy,~23min,TV-Series,24,2018
Lupin the 3rd: Part 6,3.85 Excellent,"TMS Entertainment Co., Ltd.",Manga,Action Comedy,~23min,TV-Series,24,2021
Birdie Wing: Golf Girls’ Story,3.78 Excellent,BANDAI NAMCO Pictures Inc.,Original Work,Ganbatte,~24min,TV-Series,13,2022
Pandora Hearts,3.74 Excellent,"XEBEC, Inc.",Manga,Adventure,~25min,TV-Series,25,2009
Hi Score Girl,3.75 Excellent,"J.C.STAFF Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2018
"Aishiteruze Baby (I Love You, Baby)",3.74 Excellent,"TMS Entertainment Co., Ltd.",Manga,Slice of Life Drama,~25min,TV-Series,26,2004
Cautious Hero: The Hero Is Overpowered but Overly Cautious,3.74 Excellent,"WHITE FOX Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2019
Aldnoah.Zero,3.74 Excellent,"A-1 Pictures Inc., TROYCA Inc.",Original Work,Action Drama,~24min,TV-Series,12,2014
Casshern Sins,3.73 Excellent,MADHOUSE Inc.,Original Work,Action Drama,~24min,TV-Series,24,2008
By the Grace of the Gods,3.74 Excellent,"MAHO FILM Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2020
Yuki Yuna Is a Hero: Great Mankai Chapter,3.92 Excellent,Studio Gokumi,Original Work,Drama,~24min,TV-Series,12,2021
Another,3.73 Excellent,"P.A. Works Co., Ltd.",Light Novel,Horror,~25min,TV-Series,12,2012
Case Closed,3.73 Excellent,"TMS Entertainment Co., Ltd.",Manga,Crime Fiction,~25min,TV-Series,1200,1996
Kemono Jihen,3.74 Excellent,"AJIADO CO.,LTD.",Manga,Action,~24min,TV-Series,12,2021
Radiant: Season 2,3.75 Excellent,Lerche,Manga,Adventure,~25min,TV-Series,21,2019
91 Days,3.73 Excellent,Shuka Inc.,Original Work,Thriller,~24min,TV-Series,12,2016
Yowamushi Pedal,3.74 Excellent,"TMS Entertainment Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,38,2013
Dead Mount Death Play,3.73 Excellent,GEEK TOYS Inc.,Manga,Action,~24min,TV-Series,12,2023
Pretty Guardian Sailor Moon Crystal Season III,3.75 Excellent,"Toei Animation Co., Ltd.",Manga,Adventure,~25min,TV-Series,13,2016
The Reincarnation of the Strongest Exorcist in Another World,3.73 Excellent,"Studio Blanc. Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,13,2023
Tada Never Falls in Love,3.73 Excellent,Doga Kobo,Original Work,Romantic Comedy,~24min,TV-Series,13,2018
xxxHOLiC,3.73 Excellent,"Production I.G., Inc.",Manga,Ghost Stories,~24min,TV-Series,24,2006
Kakuriyo: Bed & Breakfast for Spirits,3.74 Excellent,Gonzo K.K.,Light Novel,Drama,~24min,TV-Series,26,2018
Undead Unluck,3.75 Excellent,David Production Inc.,Manga,Fighting-Shounen,~24min,TV-Series,24,2023
Romeo × Juliet,3.73 Excellent,Gonzo K.K.,Theater,Drama,~24min,TV-Series,24,2007
Yuruyuri: Happy Go Lily Season 2,3.73 Excellent,Doga Kobo,Manga,Comedy,~24min,TV-Series,12,2012
Tokyo Ghoul √A,3.72 Excellent,"Pierrot Co., Ltd.",Manga,Horror,~24min,TV-Series,12,2015
The Genius Prince’s Guide to Raising a Nation Out of Debt,3.73 Excellent,Yokohama Animation Lab,Light Novel,Action Comedy,~24min,TV-Series,12,2022
Sugar Apple Fairy Tale,3.74 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Adventure,~23min,TV-Series,12,2023
Fate/Apocrypha,3.73 Excellent,A-1 Pictures Inc.,Light Novel,Action Drama,~24min,TV-Series,25,2017
The Familiar of Zero F,3.68 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Romantic Comedy,~25min,TV-Series,12,2012
Looking Up at the Half-Moon,3.68 Excellent,"Group Tac Co., Ltd.",Light Novel,Romantic Drama,~25min,TV-Series,6,2006
IDOLiSH7 Third Beat! (Cour 2),3.91 Excellent,TROYCA Inc.,Video Game,Ganbatte,~24min,TV-Series,17,2022
A Certain Magical Index II,3.68 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action,~25min,TV-Series,24,2010
"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",3.69 Excellent,"Yumeta Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2024
Silver Spoon,3.69 Excellent,A-1 Pictures Inc.,Manga,Comedy,~23min,TV-Series,11,2013
You and Me 2,3.70 Excellent,"J.C.STAFF Co., Ltd.",Manga,Comedy,~24min,TV-Series,13,2012
Sword Art Online Alternative: Gun Gale Online,3.68 Excellent,3Hz Inc.,Light Novel,Action,~24min,TV-Series,12,2018
Teasing Master Takagi-san,3.68 Excellent,"Shin-ei Animation Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2018
Hakuoki: Demon of the Fleeting Blossom - Record of the Jade Blood,3.69 Excellent,"Studio DEEN Co., Ltd.",Visual Novel,Drama,~23min,TV-Series,10,2010
Healer Girl,3.74 Excellent,3Hz Inc.,Original Work,Slice of Life Drama,~24min,TV-Series,12,2022
Yashahime: Princess Half-Demon (Season 2),3.72 Excellent,SUNRISE Inc.,Original Work,Fighting-Shounen,~24min,TV-Series,24,2021
The Legend of the Legendary Heroes,3.68 Excellent,ZEXCS Inc.,Light Novel,Adventure,~24min,TV-Series,24,2010
Grimoire of Zero,3.68 Excellent,"WHITE FOX Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2017
Stars Align,3.70 Excellent,"8bit Corp, Inc.",Original Work,Drama,~24min,TV-Series,12,2019
Sword Art Online Alternative: Gun Gale Online II,3.69 Excellent,3Hz Inc.,Light Novel,Action,~24min,TV-Series,12,2024
Boys over Flowers,3.69 Excellent,"Toei Animation Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,51,1996
The Masterful Cat Is Depressed Again Today,3.70 Excellent,GoHands,Manga,Comedy,~24min,TV-Series,13,2023
Is the Order a Rabbit?? Season 2,3.70 Excellent,"Kinema Citrus Co., Ltd., WHITE FOX Co., Ltd.",Manga,Comedy,~25min,TV-Series,12,2015
Valvrave the Liberator Second Season,3.68 Excellent,SUNRISE Inc.,Original Work,Action,~25min,TV-Series,12,2013
Fate/Kaleid Liner Prisma Illya 3rei!!,3.68 Excellent,SILVER LINK.,Manga,Action Drama,~24min,TV-Series,12,2016
